epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.821,1.00354,2.52807,1.22694,0.78182,0.29999,0.46222,0.35844,0.86099,2.89289,1.1056,0.00041441,0.00041441,0.00041441
2,712.009,0.97284,1.63115,1.17024,0.65059,0.49223,0.53198,0.365,1.08696,2.33681,1.28939,0.000834763,0.000834763,0.000834763
3,1049.14,1.0979,1.63977,1.22552,0.58136,0.39922,0.45848,0.25779,1.3685,2.41761,1.6522,0.00124663,0.00124663,0.00124663
4,1386.51,1.09826,1.57081,1.22556,0.53295,0.42386,0.43031,0.2607,1.35487,2.29531,1.50161,0.00138656,0.00138656,0.00138656
5,1721.22,1.07217,1.3917,1.20106,0.56953,0.40514,0.44431,0.27788,1.23592,2.2343,1.46472,0.00137241,0.00137241,0.00137241
6,2056.35,1.04526,1.35128,1.19536,0.55656,0.58067,0.55391,0.34717,1.15765,2.01202,1.35848,0.00135826,0.00135826,0.00135826
7,2382.46,1.00988,1.28071,1.18001,0.58266,0.52731,0.58349,0.37356,1.21581,2.23229,1.43017,0.00134412,0.00134412,0.00134412
8,2711.3,0.97273,1.25535,1.17889,0.76966,0.64829,0.70238,0.51582,1.01116,1.52865,1.24449,0.00132997,0.00132997,0.00132997
9,3045.51,1.04314,1.28966,1.17407,0.80199,0.54332,0.71046,0.51871,1.02669,1.56692,1.23848,0.00131582,0.00131582,0.00131582
10,3372.28,1.01422,1.20616,1.17802,0.74761,0.60537,0.68144,0.50702,1.01112,1.64043,1.21273,0.00130168,0.00130168,0.00130168
11,3699.54,0.9353,1.14281,1.13829,0.75708,0.60292,0.65787,0.48899,1.02059,1.69948,1.24013,0.00128753,0.00128753,0.00128753
12,4030.92,0.9531,1.09881,1.13148,0.81144,0.65271,0.74124,0.5659,0.9553,1.36417,1.19548,0.00127338,0.00127338,0.00127338
